"season","team","opponent","playing","half","goals"
"2012/13","Fulham","Man City",0,"first",0
"2012/13","Reading","Newcastle",0,"first",0
"2012/13","QPR","West Ham",0,"first",1
"2012/13","Sunderland","Wigan",0,"first",3
"2012/13","Aston Villa","West Brom",0,"first",2
"2012/13","Chelsea","Arsenal",1,"first",2
"2012/13","Tottenham","Man Utd",1,"first",0
"2012/13","Arsenal","Chelsea",0,"first",0
"2012/13","Man Utd","Tottenham",0,"first",1
"2012/13","Southampton","Everton",1,"first",0
"2012/13","Everton","Southampton",0,"first",0
"2012/13","Arsenal","West Ham",1,"first",1
"2012/13","West Ham","Arsenal",0,"first",1
"2012/13","QPR","Man City",1,"first",0
"2012/13","Sunderland","Swansea",1,"first",0
"2012/13","Stoke","Wigan",1,"first",1
"2012/13","Aston Villa","Newcastle",1,"first",0
"2012/13","Man City","QPR",0,"first",0
"2012/13","Swansea","Sunderland",0,"first",0
"2012/13","Wigan","Stoke",0,"first",0
"2012/13","Newcastle","Aston Villa",0,"first",2
"2012/13","Reading","Chelsea",1,"first",0
"2012/13","Man Utd","Southampton",1,"first",2
"2012/13","Fulham","West Ham",1,"first",1
"2012/13","Everton","West Brom",1,"first",2
"2012/13","Norwich","Tottenham",1,"first",1
"2012/13","Arsenal","Liverpool",1,"first",0
"2012/13","Chelsea","Reading",0,"first",1
"2012/13","Southampton","Man Utd",0,"first",1
"2012/13","West Ham","Fulham",0,"first",0
"2012/13","West Brom","Everton",0,"first",0
"2012/13","Tottenham","Norwich",0,"first",0
"2012/13","Liverpool","Arsenal",0,"first",1
"2012/13","Fulham","Man Utd",1,"first",0
"2012/13","Wigan","Southampton",1,"first",1
"2012/13","West Ham","Swansea",1,"first",0
"2012/13","Everton","Aston Villa",1,"first",1
"2012/13","Arsenal","Stoke",1,"first",0
"2012/13","Reading","Sunderland",1,"first",1
"2012/13","Newcastle","Chelsea",1,"first",1
"2012/13","QPR","Norwich",1,"first",0
"2012/13","Man Utd","Fulham",0,"first",0
"2012/13","Southampton","Wigan",0,"first",0
"2012/13","Swansea","West Ham",0,"first",0
"2012/13","Aston Villa","Everton",0,"first",2
"2012/13","Stoke","Arsenal",0,"first",0
"2012/13","Sunderland","Reading",0,"first",1
"2012/13","Chelsea","Newcastle",0,"first",0
"2012/13","Norwich","QPR",0,"first",0
"2012/13","Man City","Liverpool",1,"first",1
"2012/13","West Brom","Tottenham",1,"first",0
"2012/13","Liverpool","Man City",0,"first",1
"2012/13","Tottenham","West Brom",0,"first",0
"2012/13","Tottenham","Newcastle",1,"first",1
"2012/13","Southampton","Man City",1,"first",2
"2012/13","Stoke","Reading",1,"first",0
"2012/13","Swansea","QPR",1,"first",2
"2012/13","Sunderland","Arsenal",1,"first",0
"2012/13","Norwich","Fulham",1,"first",0
"2012/13","Chelsea","Wigan",1,"first",1
"2012/13","Newcastle","Tottenham",0,"first",1
"2012/13","Man City","Southampton",0,"first",1
"2012/13","Reading","Stoke",0,"first",0
"2012/13","QPR","Swansea",0,"first",0
"2012/13","Arsenal","Sunderland",0,"first",1
"2012/13","Fulham","Norwich",0,"first",0
"2012/13","Wigan","Chelsea",0,"first",0
"2012/13","Man Utd","Everton",1,"first",2
"2012/13","Aston Villa","West Ham",1,"first",0
"2012/13","Everton","Man Utd",0,"first",0
"2012/13","West Ham","Aston Villa",0,"first",0
"2012/13","Liverpool","West Brom",1,"first",0
"2012/13","West Brom","Liverpool",0,"first",0
"2012/13","Liverpool","Swansea",1,"first",1
"2012/13","Swansea","Liverpool",0,"first",0
"2012/13","Fulham","Stoke",1,"first",1
"2012/13","Reading","Wigan",1,"first",0
"2012/13","Norwich","Everton",1,"first",0
"2012/13","QPR","Man Utd",1,"first",0
"2012/13","West Brom","Sunderland",1,"first",1
"2012/13","Arsenal","Aston Villa",1,"first",1
"2012/13","Stoke","Fulham",0,"first",0
"2012/13","Wigan","Reading",0,"first",2
